postcode,population
AL1,36291
AL10,35391
AL2,23335
AL3,28025
AL4,27221
AL5,30486
AL6,11181
AL7,33974
AL8,13366
AL9,10641
B1,8514
B10,26004
B11,44391
B12,20548
B13,37672
B14,43099
B15,17872
B16,23619
B17,25625
B18,16739
B19,20204
B2,655
B20,34752
B21,29626
B23,42858
B24,28280
B25,15861
B26,32458
B27,25331
B28,30345
B29,42615
B3,2226
B30,29541
B31,53794
B32,38357
B33,34483
B34,18941
B35,9931
B36,35132
B37,35875
B38,21061
B4,4337
B40,9
B42,24262
B43,28796
B44,37447
B45,30273
B46,12188
B47,9560
B48,5685
B49,10097
B5,12156
B50,5517
B6,19507
B60,27178
B61,24316
B62,24112
B63,36590
B64,16616
B65,23581
B66,21491
B67,29853
B68,30924
B69,29011
B7,8554
B70,27772
B71,30934
B72,9660
B73,23071
B74,32012
B75,26863
B76,21509
B77,57219
B78,24227
B79,22302
B8,42278
B80,7055
B9,24915
B90,45652
B91,33280
B92,36119
B93,19505
B94,7298
B95,6000
B96,4968
B97,33402
B98,49783
BA1,40612
BA10,3843
BA11,32633
BA12,28544
BA13,20306
BA14,48041
BA15,12995
BA16,13011
BA2,73927
BA20,11240
BA21,33314
BA22,18102
BA3,34598
BA4,17781
BA5,17731
BA6,12840
BA7,3655
BA8,4165
BA9,7201
BB1,66805
BB10,37183
BB11,22428
BB12,34620
BB18,17063
BB2,59842
BB3,34200
BB4,41140
BB5,61420
BB6,14602
BB7,31641
BB8,23032
BB9,44588
BD1,3790
BD10,25694
BD11,10971
BD12,16821
BD13,24817
BD14,8860
BD15,15713
BD16,25630
BD17,17992
BD18,27292
BD19,22059
BD2,29799
BD20,35800
BD21,26636
BD22,29891
BD23,29515
BD24,5180
BD3,33336
BD4,31147
BD5,32021
BD6,29771
BD7,35214
BD8,31893
BD9,28532
BH1,19992
BH10,20068
BH11,19783
BH12,34966
BH13,8246
BH14,23785
BH15,33212
BH16,15430
BH17,22518
BH18,11861
BH19,11316
BH2,8431
BH20,20134
BH21,40648
BH22,26791
BH23,52852
BH24,23496
BH25,25809
BH3,5635
BH31,13310
BH4,9565
BH5,10816
BH6,22725
BH7,11495
BH8,28262
BH9,30964
BL0,17204
BL1,63209
BL2,46068
BL3,63944
BL4,33688
BL5,27064
BL6,29345
BL7,15290
BL8,36175
BL9,47942
BN1,84133
BN10,18568
BN11,32770
BN12,20417
BN13,27568
BN14,31007
BN15,27300
BN16,28131
BN17,28542
BN18,13232
BN2,93174
BN20,21401
BN21,24790
BN22,32826
BN23,28243
BN24,9155
BN25,23670
BN26,11452
BN27,27232
BN3,79624
BN41,20832
BN42,10201
BN43,22438
BN44,10188
BN45,580
BN5,7123
BN6,17588
BN7,21125
BN8,16105
BN9,13423
BR1,55962
BR2,44958
BR3,47411
BR4,19367
BR5,46011
BR6,46073
BR7,17322
BR8,22053
BS1,11544
BS10,27876
BS11,17430
BS13,29574
BS14,28656
BS15,47398
BS16,75733
BS2,15730
BS20,30042
BS21,23308
BS22,37701
BS23,34073
BS24,19035
BS25,6388
BS26,4934
BS27,6996
BS28,3339
BS29,2588
BS3,36447
BS30,30093
BS31,19955
BS32,24543
BS34,29908
BS35,21918
BS36,15654
BS37,38080
BS39,15391
BS4,47993
BS40,12549
BS41,6120
BS48,23193
BS49,11776
BS5,52461
BS6,33615
BS7,40530
BS8,26345
BS9,31160
CA1,24515
CA10,13928
CA11,22135
CA12,8047
CA13,15012
CA14,35832
CA15,16110
CA16,6187
CA17,4827
CA18,324
CA19,1112
CA2,39655
CA20,3312
CA21,814
CA22,9284
CA23,1492
CA24,1036
CA25,6091
CA26,3608
CA27,1660
CA28,28849
CA3,14069
CA4,9189
CA5,6757
CA6,8861
CA7,23057
CA8,10213
CA9,2138
CB1,48585
CB10,13788
CB11,17833
CB2,18261
CB21,15487
CB22,24052
CB23,30941
CB24,32900
CB25,18274
CB3,16104
CB4,41924
CB5,12092
CB6,38016
CB7,26687
CB8,33343
CB9,32864
CF10,15465
CF11,36147
CF14,77766
CF15,17987
CF23,46988
CF24,55163
CF3,42128
CF31,44829
CF32,29931
CF33,14645
CF34,20616
CF35,16356
CF36,15843
CF37,38329
CF38,23088
CF39,28868
CF40,20541
CF41,10724
CF42,13423
CF43,11884
CF44,39187
CF45,19550
CF46,14291
CF47,21974
CF48,27177
CF5,66021
CF61,9772
CF62,41719
CF63,21734
CF64,36348
CF71,8906
CF72,26110
CF81,16329
CF82,20162
CF83,55304
CH1,30527
CH2,34317
CH3,32095
CH4,32585
CH41,18677
CH42,31287
CH43,38582
CH44,30010
CH45,30795
CH46,25269
CH47,10998
CH48,15271
CH49,28896
CH5,42439
CH6,17070
CH60,13256
CH61,17323
CH62,28673
CH63,30558
CH64,19027
CH65,26411
